klid,name,volumeperunit
KL05821,"35L BrewZilla Gen 3.1.1 with Pump
 1900/500w - 220-240V AC",0.128
KL01489,2.6kg CO2 Gas Cylinders,0.011666667
KL02899,"19L Ball Lock Keg with rubber base and
 handle - NEW",0.03
KL13093,"Can Fresh - Black Aluminium Cans
 (330ml/11oz) 300pcs/carton",0.15
KL14618- G2,"Temp Twister 9.5mm (3/8') Stainless
 Glycol Cooling/Heating Coil (Including 9.5mm (3/8') x 1/2' Threa",0.01125
KL05449,"Aluminium Disposable Cans
 (500mL/16.907oz) - 207 Units",0.156
KL14199,Brewzilla Whirlpool Arm,0.003
KL14021,"57cm Stainless Siphon with 1.5m Heavy
 Duty Silicone Tube (10mm ID)",0.003
KL02912,Parka for 19L Kegs (Super Thick Black),0.000464286
KL15974,"Insulating Neoprene Kegerator Tower
 Tube 76mm/3' (1-3 Tap)",0.000464286
KL16728,Cannular Auto - Splash Guard,0.000464286
KL09621,"Plastic (PP) 10mm Base Board for Grain
 Mill",0.000464286
KL07061,"Compact Adjustable Magnetic Stirrer
 Machine",0.000464286
KL02967,"Premium Ball Lock Disconnect - MFL
 (Grey/Gas)",0.000464286
KL02974,"Premium Ball Lock Disconnect - MFL
 (Black Liquid)",0.000464286
KL05289,"Heavy Duty Brewing Gloves - 55cm Long
 300grams",0.000464286
KL01304,"BIAB - High Quality Polyester Bag
 63micron mesh with 25mm Webbing 70cm x 85cm",0.000464286
KL02882,"9.5L Ball Lock Keg with rubber base and
 handle",0.02
KL05821,"35L BrewZilla Gen 3.1.1 with Pump
 1900/500w - 220-240V AC",0.128
KL02899,"19L Ball Lock Keg with rubber base and
 handle - NEW",0.03
KL03254,MaltMuncher Grain Mill 2 Roller,0.01
KL03261,MaltMuncher Grain Mill 3 Roller,0.015
KL17343,"24V Cannular Pro DC Transformer(with
 Anderson Plug X 2M;240v power cord directly)",0.003333333
KL02202,KL02202 Type 30 - Nut & Stem (CO2),0.003333333
KL01021,KL01021 Stout Spout (NukaTap),0.003333333
KL01045,"KL01045 Growler Spout with Push in type
 with O-rings (Intertap)",0.003333333
KL06231,"KL06231 EVABarrier 5mm x 8mm Double
 Wall EVA (12meter Length in Bag)",0.001071429
KL10788,"KL10788 FermZilla - Liquid/Gas Post
 Plastic Carbonation Cap",0.001071429
KL07429,"Type 30 - MK4 Regulator (6.5bar PRV &
 100psi Gauge)",0.006666667
KL07450,"MK4 Regulator - CGA320 (6.5bar PRV &
 100psi Gauge)",0.006666667
KL14830,"PCO1881 Carbonation Cap Tee Adapter
 (Female x Male x Male)",0.000347826
KL15035,duotight - Inline Regulator 0-60psi,0.000347826
KL15042,duotight - Blowtie 0-15psi,0.000347826
KL15653,Buffer Powders(4.00/6.86/9.18),0.000347826
KL09706,BLOWTIE SPUNDING VALVE KIT,0.000347826
KL12607,Bottling Wand,0.000347826
KL13086,"Cannular Table Spacer - Used for 330ml
 Cans",0.000347826
KL01236,Replacement Silicone Tip,0.000347826
KL02172,"Push In 8mm In-Line Regulator with
 Yellow Adjustment Handle",0.000347826
KL03063,Silicone Hatch/Lid O-ring,0.000347826
KL03643,"BlowTie Spunding Valve / Adjustable
 Pressure Relief Valve (0-40 psi)",0.000347826
KL04060,"Replacement Pivoting Magnetic Stir Bar
 30mm",0.000347826
KL04145,100 Strip PH Test Kits PH 0 to PH 14,0.000347826
KL04152,100 Strip PH Test Kits PH 3.8 to PH 5.4,0.000347826
KL04169,Pen Style PH Meter,0.000347826
KL04220,Universal Silicone Faucet Tap Spout Plug,0.000347826
KL04237,Faucet / Tap Spout Brush Cap,0.000347826
KL05135,(10 PACK) 5/8 Silicone Washer,0.000347826
KL05456,Nylon Regulator Washer,0.000347826
KL07139,(10 Pack) Dip Tube O-ring,0.000347826
KL07689,Tube Cutter 2 in 1,0.000347826
KL00956,Stainless / Nylon Composite Pluto Gun,0.000347826
KL06903,duotight - 8mm (5/16) x 5/8inch Female,6.0241E-05
KL08648,duotight-6.5mm(1/4) x 9.5mm(3/8),6.0241E-05
KL02370,duotight - 8mm Push in Joiner,6.0241E-05
KL02387,duoTight - 8mm Push in Tee Piece,6.0241E-05
KL02400,duotight - 8mm Push in Elbow,6.0241E-05
KL06873,"6m roll of heavy Duty Silicone Tube -
 (ID12.5mm x OD18.5mm)",6.0241E-05
KL06880,"duotight - 8mm (5/16) x FFL (to fit MFL
 Disconnects - 7/16' - 20UNF)",6.0241E-05
KL06927,"duotight - 9.5mm (3/8) x 1/2inch Male
 (with oring)",6.0241E-05
KL07023,duotight - 9.5mm (3/8) Tee Piece,6.0241E-05
KL07030,duotight - 9.5mm (3/8) Elbow,6.0241E-05
KL07047,duotight - 8mm(5/16) Check Valve,6.0241E-05
KL07375,"duotight - 9.5mm (3/8) x 1/2inch Male Ball
 Valve",6.0241E-05
KL07481,"duotight - 6.5mm (1/4) x 8mm (5/16)
 Reducer",6.0241E-05
KL09393,"duotight Flow Stopper - Automatic Keg
 Filler",6.0241E-05
KL01007-,Intertap - FC,0.000625
KL15509,NUKATAP - SS,0.000625
KL01052,Liquid Ball Lock Spout (NukaTap),0.000152672
KL07290,"Deluxe Sodastream Cylinder Adapter
 (with pin adjustment)",0.000152672
KL01373,Chrome Plated Brass Tap Handle,0.000152672
KL09461,"Garden Hose Quick Connect Coupling 1/2
 inch Female",0.000152672
KL11952,150mm Duotight Long Shank S.S.,0.000152672
KL13420,Feeler Gauge 17 Blade (0.05-1mm),0.000152672
KL00994,NukaTap Self Closing Tap spring,0.000152672
KL01113,"100mm Long Shank - SS with nut tail and
 barb",0.000152672
KL01359,"Black Plastic Draft Tap Handle - Long
 Slender Type",0.000152672
KL02004,"12.7mm Compression Fitting to 1/2inch
 BSP",0.000152672
KL02608,"Gas Line Manifold Splitter 2 ways (MFL
 Thread)",0.000152672
KL02622,"Gas Line Manifold Splitter 4 ways (MFL
 Thread)",0.000152672
KL02868,Keg Lid with PRV & Silicone O-ring,0.000152672
KL03001,"Stainless Gas Lock Disconnect MFL
 Thread",0.000152672
KL03049,Cornelius Type Gas Post,0.000152672
KL03056,Cornelius Type Liquid Post,0.000152672
KL03179,"Gas Ball Lock Post with 1/4inch bulkhead
 assembly",0.000152672
KL03247,MFL Tap Shank Adaptor,0.000152672
KL03544,"Male Quick Dis 1/2 Inch BSP Female
 Thread",0.000152672
KL03568,Male Quick Dis 13mm Barb,0.000152672
KL03582,Female quick disconnects 13mm Barb,0.000152672
KL04510,Type F Camlock Male x 1/2 Male,0.000152672
KL04527,Type E Camlock Male x 13mm Barb,0.000152672
KL06729,"Bag of 20 x 18.5mm S.S. Stepless
 Clamps(suit 16-18mm OD)",0.000152672
KL06972,"Mini Keg - Ball Lock Tapping Head with
 8mm silicone hose",0.000152672
KL07146,10 x Poppet & Spring (Value Pack),0.000152672
KL10764,Stainless steel Helix Coil 1m with Tee,0.00125
KL09409,"Silicon Ball Float Spares for Flow Stopper
 (Pack of 3)",0.00125
KL06354,"Mini Keg - 4L (approx 128oz) (135mm x
 280mm)",0.013333333
KL01427,30cm Wrap Around Drip Tray Stainless,0.013333333
KL06347,"Mini Keg - 2L (approx 64oz) (135mm x
 195mm)",0.013333333
KL06835,FermZilla - 27L - Starter Kit-with handle,0.07
KL06972,"Mini Keg - Ball Lock Tapping Head with 8mm
 silicone hose",0.001282051
KL06361,"Mini Keg - 5L (approx 170oz) (175mm x
 280mm)",0.001282051
KL09706,BLOWTIE SPUNDING VALVE KIT,0.001282051
KL01229,Bottle Filler Beer Gun,0.001282051
KL03261,MaltMuncher Grain Mill 3 Roller,0.001282051
KL09621,Plastic (PP) 10mm Base Board for Grain Mill,0.001282051
KL07481,duotight - 6.5mm (1/4) x 8mm (5/16) Reducer,0.001282051
KL06880,"duotight - 8mm (5/16) x FFL (to fit MFL
 Disconnects - 7/16' - 20UNF)",0.001282051
KL15035,duotight - Inline Regulator 0-60psi,0.001282051
KL07047,duotight - 8mm(5/16) Check Valve,0.001282051
KL02967,"Premium Ball Lock Disconnect - MFL
 (Grey/Gas)",0.001282051
KL02974,"Premium Ball Lock Disconnect - MFL (Black
 Liquid)",0.001282051
KL02943,Premium Ball Lock Disconnect (Grey/Gas),0.001282051
KL02950,Premium Ball Lock Disconnect (Black/Liquid),0.001282051
KL03049,Cornelius Type Gas Post,0.001282051
KL03056,Cornelius Type Liquid Post,0.001282051
KL07146,10 x Poppet & Spring (Value Pack),0.001282051
KL06231,"EVABarrier 5mm x 8mm Double Wall EVA
 (12meter Length in Bag)",0.001282051
KL06248,"EVABarrier 6.3mm(1/4inch)ID x 9.5mm
 (3/8inch)OD (12meter Length in Bag)",0.001282051
KL06941,duotight - 8mm (5/16) x 9.5mm (3/8) Reducer,0.001282051
KL07016,duotight - 9.5mm (3/8) Joiner,0.001282051
KL15684,"Can Fresh - Full Aperture Aluminium Cans (500ml/16oz) 207pcs/carton
 packing(58x53x51cm)",0.15
KL15189,"KL15189 FermZilla All Rounder 30L -
 Includes Stand, Tank, Stainless Handle, Lid, Airlock, Stick on Thermomet",0.066
KL15769,"KL15769 Cannular Pro Semi-Auto - DC
 Canning Machine-24V",0.129
KL04831,"35L - Jacket for BrewZilla (Neoprene
 Parka)",0.0125
KL11495,FermZilla - 55L Jacket,0.0125
KL11488,Jacket for 27L FermZilla,0.0125
KL04688,"The Amazing Hop Spider with 40 mesh
 workmanship",0.004615385
KL01380,30cm Door Mounted Drip Trays,0.004615385
KL01410,60cm Counter Top Drip Tray,0.004615385
KL03810,"Stainless Steel Mash Paddle (61cm)
 (Light Duty)",0.004615385
KL14649- G2,"60cm Thermowell (8mm(5/16') OD)
 Includes duotight 8mm (5/16') x 1/4inch thread with o-ring and nut",0.004615385
KL14717,"Stainless Flexi Arm 40cm with 1/2inch
 Hex Nut",0.004615385
KL15189,"KL15189 FermZilla All Rounder 30L -
 Includes Stand, Tank, Stainless Handle, Lid, Airlock, Stick on Thermomet",0.28
KL02899,"19L Ball Lock Keg with rubber base and
 handle - NEW",0.03
KL00482,"Double Tap Brushed Stainless Font Kit
 with SS Duotigh Shot shank and Black handle (Without Tap)",0.008333333
KL00499,"Triple Tap Brushed Stainless Font Kit
 with SS Duotigh Shot shank and Black handle (Without Tap)",0.008333333
KL15745,"Quadruple Tap Brushed Stainless Font Kit
 (Without Tap)",0.008333333
KL01229,Bottle Filler Beer Gun,0.008333333
KL06224,"EVABarrier 4mm x 8mm Double Wall EVA
 (12meter Length in Bag)",0.003076923
KL06248,"EVABarrier 6.3mm(1/4inch)ID x 9.5mm
 (3/8inch)OD (12meter Length in Bag)",0.003076923
KB02113,Fermzillia Red Plastic Pressure Kit,0.003076923
KL00727,"Double EVA Beer Line Set with clamps, 7 in 1 spanner and Duotight tee (for font kit)
 With Duotight Pushin for KL00482",0.003076923
KL00734,"Triple EVA Beer Line Set with clamps, 7 in
 1 spanner and 2 x Duotight tee (for font kit) With Duotight Pushin for KL00499",0.003076923
KL14076,"80cm Silicone Dip Tube & Stainless Steel
 Float",0.003076923
KL06835,FermZilla - 27L - Starter Kit-with handle,0.07
